Date,Portfolio Equity
2023-05-22,150.26011912741552
2023-05-23,150.19834826284443
2023-05-24,150.53850652694513
2023-05-25,150.61592513003504
2023-05-26,150.21959139867027
2023-05-30,150.53733053963228
2023-05-31,150.89275228717582
2023-06-01,151.65173340131636
2023-06-02,151.5613137655688
2023-06-05,151.5613137655688
2023-06-06,151.5613137655688
2023-06-07,151.5613137655688
2023-06-08,151.5613137655688
2023-06-09,151.53036347709028
2023-06-12,151.9963695425048
2023-06-13,151.2092164033041
2023-06-14,151.36993580347772
2023-06-15,151.39054065197405
2023-06-16,151.82745960409738
2023-06-20,151.60610223218313
2023-06-21,151.80538339352944
2023-06-22,151.98183034876052
2023-06-23,151.820324945025
2023-06-26,150.48405631366134
2023-06-27,149.80586551747686
2023-06-28,150.75467137679254
2023-06-29,153.2377802996394
2023-06-30,152.45451829084178
2023-07-03,153.85255907938102
2023-07-05,152.85611648911765
2023-07-06,153.17276429921634
2023-07-07,153.34316257026515
2023-07-10,152.4652768005293
2023-07-11,152.56302889386734
2023-07-12,152.7373158076684
2023-07-13,153.44161307518968
2023-07-14,152.85298310153698
2023-07-17,153.04682989882056
2023-07-18,154.25160507850978
2023-07-19,154.1946693975927
2023-07-20,154.71070833730732
2023-07-21,155.9732633609874
2023-07-24,155.50920372125495
2023-07-25,156.15662340840794
2023-07-26,154.66019966980696
2023-07-27,155.54887303274597
2023-07-28,156.41300799487507
2023-07-31,156.92516980077457
2023-08-01,157.42108841235478
2023-08-02,157.5466863027375
2023-08-03,157.4823364685589
2023-08-04,157.6194686558222
2023-08-07,157.85063398253828
2023-08-08,157.71355508865906
2023-08-09,158.40693873158116
2023-08-10,158.62517717006492
2023-08-11,158.34407855724697
2023-08-14,158.86083697754978
2023-08-15,158.43344461377427
2023-08-16,157.3226618555497
2023-08-17,158.75827782031038
2023-08-18,158.42358446970454
2023-08-21,158.876857834046
2023-08-22,157.57595844831056
2023-08-23,157.51304120837565
2023-08-24,158.54181168665588
2023-08-25,158.15997998106212
2023-08-28,159.25097482456528
2023-08-29,158.77218104058338
2023-08-30,156.34162058623266
2023-08-31,155.88049215386184
2023-09-01,155.35582949420822
2023-09-05,156.4113160253085
2023-09-06,155.8301153035489
2023-09-07,153.67400364555334
2023-09-08,155.38901481812348
2023-09-11,155.78163359403553
2023-09-12,159.32753265613155
2023-09-13,159.78195370202238
2023-09-14,160.23743733528826
2023-09-15,162.41056417433614
2023-09-18,163.08575270978986
2023-09-19,163.51696823970502
2023-09-20,163.5672704529135
2023-09-21,163.20736436916417
2023-09-22,162.87403901882567
2023-09-25,162.12500620653196
2023-09-26,162.36537231304595
2023-09-27,162.2815757473724
2023-09-28,162.18498147583958
2023-09-29,162.38062894451144
2023-10-02,162.89607501962843
2023-10-03,163.07367283423807
2023-10-04,163.3804653208604
2023-10-05,164.0350382196437
2023-10-06,163.74439208166393
2023-10-09,164.28627059051274
2023-10-10,164.19086402139044
2023-10-11,164.19086402139044
2023-10-12,164.19086402139044
2023-10-13,164.19086402139044
2023-10-16,164.02774271828866
2023-10-17,163.7378884957845
2023-10-18,163.28232117211286
2023-10-19,163.04218505386044
2023-10-20,164.43707734037255
2023-10-23,165.1804309498964
2023-10-24,165.11936052843197
2023-10-25,165.22670775664503
2023-10-26,163.66192833514287
2023-10-27,165.30658489040914
2023-10-30,166.02235404023116
2023-10-31,166.48895845262194
2023-11-01,166.06259725941106
2023-11-02,164.78309645067242
2023-11-03,163.89018243674053
2023-11-06,164.1710883962386
2023-11-07,164.8870907301378
2023-11-08,165.4670625433754
2023-11-09,165.24342578207126
2023-11-10,165.70939731249956
2023-11-13,165.59765252370772
2023-11-14,167.21344268195418
2023-11-15,167.0825592807085
2023-11-16,166.68896075391896
2023-11-17,166.5044632351342
2023-11-20,167.9371564031821
2023-11-21,167.17578149751728
2023-11-22,167.1966704191027
2023-11-24,167.68110271559766
2023-11-27,167.1067922189555
2023-11-28,167.68942208273637
2023-11-29,166.61396246795385
2023-11-30,165.3813317355819
2023-12-01,166.50022491942315
2023-12-04,166.79896149706525
2023-12-05,167.04188019376525
2023-12-06,168.0623664835034
2023-12-07,167.30205096447372
2023-12-08,166.42880474384972
2023-12-11,166.79478952083682
2023-12-12,166.828584561811
2023-12-13,166.77782660270685
2023-12-14,166.2538561924672
2023-12-15,166.17395695136236
2023-12-18,166.10744463760432
2023-12-19,165.62662111744487
2023-12-20,165.69171329768884
2023-12-21,166.02682969594747
2023-12-22,165.9856577317504
2023-12-26,165.40988811412973
2023-12-27,165.34236905970516
2023-12-28,165.21655300202994
2023-12-29,165.420788774007
