Date,AAPL,AMZN,BAC,CVX,DIS,GOOGL,GS,HD,JPM,KO,LOW,MA,META,MSFT,NFLX,NVDA,PEP,V,WFC,XOM
2023-08-15,175.2329864501953,137.6699981689453,27.91834831237793,140.3408660888672,85.05695343017578,128.71615600585938,309.6681213378906,310.1361389160156,141.83291625976562,55.71784973144531,212.11282348632812,388.12554931640625,299.5989074707031,314.4203796386719,42.369998931884766,43.905677795410156,165.04580688476562,234.85791015625,39.95832061767578,98.64373016357422
2023-08-16,174.36399841308594,135.07000732421875,27.31223487854004,139.8032989501953,84.36329650878906,127.64500427246094,306.7784423828125,310.9671325683594,141.2310791015625,55.72705841064453,210.51133728027344,388.0468444824219,291.9985656738281,313.6568298339844,41.54499816894531,43.4520378112793,164.91839599609375,234.32908630371094,39.48140335083008,96.98383331298828
2023-08-17,171.8260955810547,133.97999572753906,27.302913665771484,142.14340209960938,83.94319152832031,128.85499572753906,305.2962951660156,305.59808349609375,139.76412963867188,55.846839904785156,206.7209014892578,386.32489013671875,282.8702087402344,310.2108459472656,40.29999923706055,43.31014633178711,162.4065399169922,232.4488983154297,39.715187072753906,98.86260986328125
2023-08-18,172.30999755859375,133.22000122070312,27.144386291503906,143.16665649414062,83.98226928710938,126.41516876220703,302.8821105957031,305.6820983886719,140.08384704589844,56.16012191772461,207.85806274414062,385.88214111328125,281.0444641113281,309.8193664550781,40.452999114990234,43.26517868041992,162.16079711914062,233.2322998046875,39.74324035644531,100.35832977294922
2023-08-21,173.6431121826172,134.67999267578125,27.181690216064453,142.68617248535156,83.90410614013672,127.3177261352539,300.2068176269531,302.59136962890625,140.5634307861328,55.68098831176758,206.1902618408203,386.8955993652344,287.64276123046875,315.1056823730469,40.82899856567383,46.93031311035156,161.13241577148438,234.49557495117188,39.73388671875,99.14533233642578
2023-08-22,175.01576232910156,134.25,26.51963233947754,141.5116424560547,83.8161849975586,128.02188110351562,297.1587829589844,302.9836120605469,137.6483612060547,55.340065002441406,213.91326904296875,391.4612121582031,285.3606262207031,315.6734313964844,41.31700134277344,45.63232421875,159.9037628173828,235.5825958251953,38.808109283447266,98.58900451660156
2023-08-23,178.85714721679688,135.52000427246094,26.52895736694336,141.69850158691406,83.85526275634766,131.28492736816406,300.4584655761719,304.48699951171875,138.57928466796875,55.5335578918457,215.28729248046875,394.6296081542969,291.948974609375,320.117919921875,42.755001068115234,47.07920455932617,162.106201171875,237.27670288085938,38.91097640991211,97.72258758544922
2023-08-24,174.1763916015625,131.83999633789062,26.687477111816406,140.53289794921875,80.57256317138672,128.71615600585938,298.24932861328125,301.21881103515625,138.44766235351562,55.386131286621094,211.28842163085938,391.2939147949219,284.51727294921875,313.2358093261719,40.69300079345703,47.12615966796875,161.25070190429688,234.50535583496094,38.74264907836914,96.99298095703125
2023-08-25,176.37850952148438,133.25999450683594,26.575576782226562,141.5828399658203,81.44209289550781,128.81533813476562,298.42645263671875,301.4709167480469,138.2783966064453,55.64413070678711,211.38319396972656,396.43023681640625,283.27703857421875,316.1824951171875,41.60300064086914,45.982059478759766,163.2893524169922,237.5410919189453,38.55562210083008,98.7258071899414
2023-08-28,177.93878173828125,133.13999938964844,26.818023681640625,142.55270385742188,82.22368621826172,129.93606567382812,303.8515319824219,304.31884765625,138.75796508789062,55.80077362060547,211.05149841308594,400.90728759765625,287.9999694824219,316.8873291015625,41.805999755859375,46.79841613769531,164.04470825195312,238.7749786376953,39.16345977783203,99.55573272705078
